date,max_temp,min_temp
2025-11-09,11.5,8.1
2025-11-10,12.2,7.9
2025-11-11,15.4,9.4
2025-11-12,16.5,8.6
2025-11-13,17.9,11.9
2025-11-14,19.9,15.0
2025-11-15,15.4,11.6
2025-11-16,14.5,9.4
